shopid,userid
10084,151362536&6488128&121615825&1668819&151363170&132259411&51586322&129074211&156270912&22105044&136264815&27099291&123715078&57956057&185802312&14062776&185601856
10100,30534780&89737965&96697084&136619968&55224420
10151,5006226&68339722&197094635&43520147&41767381&193958895&140477112&27073872&97400626&98340654&86142036&86409579&86142036&212375539&41309038&73092785&214925713&41309038&73092785&197627336&31837989&41309038&197627336&31837989&41309038&197627336&17237432&31874203&111785618&141053436&31874203&44331190&45851929&370399&170212474&187155149&4191850&50995178&107121579&4191850&40100202&50995178&107121579&4191850&17344337&40100202&50995178&236751&69404299&121594108&236751&6259791&69404299&236751&6259791&69404299&86162690
10159,12906688&12906688&24951976&56772512&46315358&62775725&10581058&62775725&10581058&15627803&44320268&50741611&20045254&50741611&20045254&50741611&20045254&131807265&7621938&20045254&131807265&14615667&131618268&149808481&654436&1258747&34237807&1258747&30041413&34237807
10208,165393885&165393885&2122532&198243676&25673303&51754700&73697678&86369812&7712443&73697678&86369812&32350901&112861115&32350901&112861115&32350901&112861115&206167251&163175928&178364667&206167251&163175928&178364667&206167251&211232937&6188135&163175928&178364667&211232937&17020751&34856947&49855887&17020751&33312407&34856947&49855887&1669338&161000555&179277192&303223&1669338&179277192&92968&16016089&151576210&92968&16016089&145516310&151576210&92968&16016089&51630395&145516310&151576210&41622838&88313653&154570881&182873307&41603396&80556201&97570715&120678329&204834774&34101149&93158907&114415064&135634912&197040974&34101149&79150062&93158907&114415064&135634912&197040974&18298684&34101149&79150062&93158907&114415064&135634912&197040974&4382964&10978629&18298684&34101149&79150062&93158907&135634912&1836131&7250222&28495599&91720728&179224394&1836131&7250222&11288307&91720728&179224394&1836131&7250222&11288307&91720728&179224394&7250222&11288307&91720728&101967463&179224394&7250222&11288307&22756103&91720728&101967463&179224394
10214,41475961&122964607&109764095&62962566&11682674&42770147&89600015&206596355&90476366&206596355&35892858&208673687&5234247&35892858&208673687&5761900&144354705&5761900&144354705&144354705&196445124&49721013&196445124&13578131&49721013&196445124&49721013&117074711&117074711&129572935&47692760&77645304&23807825&77645304&23807825&67415087&67415087&215157410&30641227&74380546&3665764&173105033&139949508&173105033&175502613&196781514&90434982&175502613&196781514&60827137&112903383&172576492&112903383&195652855&49118826&90147241&147269227&183717321&17344523&126079267&157522754&160442362
10287,875954&74606736&39158201&8649194&8649194&8649194&175408183&15934350&19396945&177456763&197342699&87511534&177456763&197342699&87511534&177456763&197342699&63023742&87511534&197342699&63023742&77485681&214642009&77485681&192769004&214642009&77485681&82128173&192769004&214642009&5914368&31342568&206556283&5914368&31342568&42717513&206556283&13437647&44005418&205638172&13437647&57211593&205638172&13437647&57211593&120414919&13437647&57211593&114067512&120414919&31578618&57211593&114067512&120414919&1119766&60183285&147443998&19396945&88849596&162780991&3953023&40995840&138611251&3953023&40995840&43331519&138611251&88825115&90994813&195157002&71886136&87377350&196760548&86239&225296&22578291&86239&225296&22578291&86239&225296&22578291&98600667&86239&22578291&46348423&98600667&15047115&22578291&46348423&98600667&15047115&22578291&39318319&46348423&5439457&15047115&22578291&39318319&5439457&15047115&39318319&63604060&5439457&15047115&39318319&63604060&202712599&5439457&39318319&63604060&103326288&202712599&22647220&63604060&103326288&202712599&927658&22647220&63604060&103326288&202712599&927658&22647220&32898492&103326288&927658&14940265&32898492&36686845&14940265&32898492&36686845&198097381&14940265&32898492&36686845&50769192&198097381&14940265&32898492&36686845&50769192&198097381&14940265&32898492&36686845&50769192&198097381&14940265&32898492&36686845&50769192&61495824&198097381&14940265&36686845&50769192&61495824&171437595&198097381&743873&1125834&12286028&27263791&41499726&97715158&112543216&743873&1125834&12286028&27263791&36056764&41499726&97715158&112543216&743873&1125834&12286028&27263791&36056764&41499726&97715158&100713980&112543216&743873&1125834&12286028&27263791&36056764&41499726&74488711&97715158&100713980&112543216&743873&1125834&12286028&27263791&36056764&41499726&61411147&74488711&97715158&100713980&112543216&743873&1125834&12286028&27263791&36056764&41499726&61411147&74488711&97715158&100713980&112543216&743873&1125834&12286028&36056764&41499726&61411147&74488711&97715158&100713980&112543216&743873&36056764&41499726&61411147&74488711&97715158&100713980&112543216&122750918&36056764&41499726&61411147&74488711&97715158&100713980&112543216&122750918&214226569&36056764&37131518&41499726&61411147&74488711&97715158&100713980&122750918&214226569&36056764&37131518&41499726&61411147&74488711&100713980&122750918&214226569&36056764&37131518&41499726&61411147&74488711&100713980&122750918&214226569&3259200&36056764&37131518&61411147&74488711&100713980&122750918&214226569
10311,6897445&5899598&5899598&108208679&72052197&127283481&28835451&88803823&1275784&205936547&14522622&202986452&30464198&167331863&30464198&167331863&172786274&35916372&172786274&209850010&68925&167331863&209850010&68925&276954&31046831&31046831&48356391&10462&8629225&14176434&190031177&3923753&83639250&63016120&126410843&63016120&109536340&55024694&109536340&28777236&99652651&28777236&62158637&99652651&68925&28777236&62158637&11284535&203674272&42082448&82613397&82613397&215369849&28965319&112813468&89594879&157225226&1797155&33010451&19401505&33010451
10402,77819&65216466&203648531&65216466&203648531&215413147
10429,45194380&166092070&167913534&167913534
10446,169045313
10484,214919018&77514045&107182014&29561239&136931619&20126471&197312276&214925782&133830097&96436768&85447846&215481845&173957394
10508,55153514
10536,672345
